address,lat,long
"4835 River City Drive Suite 105, Jacksonville, FL, 32246",30.2532444,-81.5251172
"5415 Tamiami Trail N. H-2, Naples, FL, 34108",26.2137831,-81.8026186
"2214 N. John Young Pkwy, Orlando, FL, 32804",28.573101,-81.4174589
"3101 PGA Boulevard Store Q-215, Palm Beach Gardens, FL, 33410",26.8451303,-80.0840991
"175-B E Olive Rd, Pensacola, FL, 32514",30.5327462,-87.2120599
"3380 Satellite Blvd, Duluth, GA, 30096",33.963991300000004,-84.1287064
"1302 Highway 85 N, Fayetteville, GA, 30214",33.4754719,-84.44185019999999
"1875 Greers Chapel Rd NW, Kennesaw, GA, 30144",34.0000213,-84.5815257
"1245 Worcester St. Space 3018, Natick, MA, 01760",42.3022729,-71.3833768
"3530 Jackson Rd, Ann Arbor, MI, 48103",42.2858555,-83.80211059999999
"8105 Big Lake Rd, Clarkston, MI, 48346",42.7359129,-83.45044960000001
"2590 West Maplewood Drive, Maplewood, MN, 55109",45.0179153,-93.0507851
"255 Mar-Lyn-Mr, Brandon, MS, 39042",32.2802038,-90.03052
"1605 Route 70 West, Cherry Hill, NJ, 08002",39.9168502,-75.029686
"One Garden State Plaza, Paramus, NJ, 07652",40.91789139999999,-74.0773312
"1300 Jemez Canyon Dam Rd, Bernalillo, NM, 87004",35.330334,-106.5699421
"17730 US-84 FRONTAGE, SANTA FE, NM, 87506",35.8543676,-105.9965897
"1194 W Kemper Rd, Cincinnati, OH, 45240",39.2910348,-84.5230199
"63040 N HIGHWAY 97, BEND, OR, 97703",44.0888664,-121.304869
"2755 Mission Street, Salem, OR, 97302",44.9046074,-123.0826335
"6458 Carlisle Pike, Mechanicsburg, PA, 17050",40.2473981,-77.0161772
"12845 N Highway 183, Austin, TX, 78750",30.4355061,-97.771162
"21555 Southwest Fwy, Richmond, TX, 77469",29.5566587,-95.7073529
"7500 Windrose Avenue Space B185, Plano, TX, 75024",33.0801206,-96.8260253
"8320-8434 Airport Blvd, San Antonio, TX, 78216",29.5148616,-98.4761476
"218 Hannafords Dr, South Burlington, VT, 05403",44.44285259999999,-73.2142155
"9850 W Broad St, Glen Allen, VA, 23060",37.64403799999999,-77.56420419999999
"223 Bellevue Square, Bellevue, WA, 98004",47.614067,-122.2030908
